bot_code,bot_type,sov_code,sov_name,wgsrpd_code,wgsrpd_name,wgsrpd_area,sov_intersection_area,bot_area_total,sov_area_total,proportion_total_sov,proportion_total_bot,bot_name
USA,incomplete_sov,USA,United States of America,ASK,Alaska,1497896.49210453,1485257.52470513,9448913.931608755,9449399.34709206,0.15718009898292637,0.15718817373673047,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ILL,Illinois,150177.095455795,150177.095455795,9448913.931608755,9449399.34709206,0.015892766295458792,0.015893582748533527,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WDC,District of Columbia,160.0197022469,160.0197022469,9448913.931608755,9449399.34709206,1.6934378193693777e-5,1.6935248157102787e-5,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,HBI,Howland-Baker Is.,4.9192451088,0.6684731082,9448913.931608755,9449399.34709206,7.074239151568026e-8,7.074602573781589e-8,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,ARK,Arkansas,137545.257303123,137545.257303123,9448913.931608755,9449399.34709206,0.014555978877689292,0.014556726656489377,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,SCA,South Carolina,80532.0367809304,80240.1555402509,9448913.931608755,9449399.34709206,0.008491561483740641,0.008491997717518563,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WVA,West Virginia,62522.6660786195,62522.6660786195,9448913.931608755,9449399.34709206,0.0066165756977833836,0.006616915608625351,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WAK,Wake I.,19.5332811816,2.9830591548,9448913.931608755,9449399.34709206,3.156877009032326e-7,3.1570391860814734e-7,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,FLA,Florida,146585.046451249,145242.409112164,9448913.931608755,9449399.34709206,0.015370544071339372,0.01537133369648921,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,MAS,Massachusetts,21054.9453535815,20754.3357519734,9448913.931608755,9449399.34709206,0.0021963656090331603,0.002196478442093271,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,INI,Indiana,94753.9265911138,94753.9265911138,9448913.931608755,9449399.34709206,0.01002750789871879,0.010028023038091234,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,WIS,Wisconsin,169707.123727506,169707.123727506,9448913.931608755,9449399.34709206,0.017959567322099825,0.017960489952162362,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,VER,Vermont,24701.9591162961,24554.9518289761,9448913.931608755,9449399.34709206,0.002598572769234543,0.0025987062647310427,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
